Cladonia foliacea
Cladonia rangiformis
Cladonia rei
Clausilia bidentata
Clavulicium macounii
Clavulinopsis fusiformis
Clavulinopsis helvola
Cleistogenes serotina
Clematis recta
Clostera anachoreta
Clypeola jonthlaspi
Coelioxys afra
Coelioxys inermis
Coelioxys rufescens
Coenagrion hastulatum
Coenagrion pulchellum
Coenonympha arcania
Coenonympha glycerion
Coenonympha tullia
Colchicum alpinum
Colias palaeno
Colletes cunicularius
Colletes similis
Colutea arborescens
Conium maculatum
Conocephalus dorsalis
Conocephalus fuscus
Consolida regalis
Coronella austriaca
Coronilla coronata
Coronilla minima
Coronopus squamatus
Cortinarius atrovirens
Cortinarius bulliardii
Cortinarius caerulescens
Cortinarius cinnabarinus
Cortinarius cliduchus
Cortinarius cotoneus
Cortinarius crassus
Cortinarius cumatilis
Cortinarius elegantissimus
Cortinarius humicola
Cortinarius largus
Cortinarius nemorensis
Cortinarius olidus
Cortinarius orellanus
Cortinarius trivialis
Corvus monedula
Corydalis intermedia
Cotinus coggygria
Crepis mollis
Crepis praemorsa
Crepis tectorum
Crex crex
Crinipellis scabella
Cristinia helvetica
Crocidura leucodon
Crocidura suaveolens
Cruciata pedemontana
Crupina vulgaris
Cucubalus baccifer
Cuculus canorus
Cuphophyllus russocoriaceus
Cupido alcetas
Cupido argiades
Cupido osiris
Cuscuta europaea
Cybosia mesomella
Cyclamen hederifolium
Cymatophorina diluta
Cynoglossum germanicum
Cynoglossum officinale
Cyperus flavescens
Cyperus fuscus
Cyperus longus
Cypripedium calceolus
Cystoderma cinnabarinum
Cytisus decumbens
Cytisus nigricans
Dacryobolus sudans
Dactylorhiza cruenta
Dactylorhiza incarnata
Dactylorhiza lapponica
Dactylorhiza sambucina
Dactylorhiza traunsteineri
Daphne alpina
Daphne cneorum
Dasypoda hirtipes
Daudebardia rufa
Decticus verrucivorus
Delichon urbicum
Delphinium elatum
Dendrocopos leucotos
Dendrothele acerina
Deroceras laeve
Dianthus deltoides
Dianthus gratianopolitanus
Dianthus seguieri
Dicallomera fascelina
Dicerca alni
Dichomitus campestris
Dicranella rufescens
Dicranum undulatum
